,Job Title,Rating,Size,Type of ownership,Industry,Revenue,Competitors,Salary_min,Salary_max
1179,Data Analyst Supporting the FBI #20-188,2.8, 5000 , Private,Staffing & Outsourcing, 100 M ,-1,64,113 
1180,Data Engineer/Reporting Analyst,1.6, 50 , Public,Advertising & Marketing, 5 M ,-1,64,113 
1181,Sr. Data Analyst - Project Manager,2.7, 5000 , Private,Staffing & Outsourcing, 500 M ,-1,64,113 
1182,Data Analyst SAS Programmer,4.6, 50 , Private,Staffing & Outsourcing, 25 M ,-1,50,93 
1183,Sr. Data Analyst,3.8, 200 , Private,Consulting, 10 M ,-1,50,93 
1184,"Systems Analyst, Quality Data System",3.3, 500 , Public,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,50,93 
1185,Data Visualization Project Manager/ Business Analyst (PM / BA),4.8, 50 ,Other,IT Services, 5 M ,-1,50,93 
1186,Stability Data Analyst,-1.0,-1,Other,-1,-1,-1,50,93 
1187,Business Analyst/Data Analyst,3.5, 5000 , Private,Staffing & Outsourcing, 500 M ,"Adecco, Kforce",50,93 
1188,Stability Data Analyst,-1.0,-1,Other,-1,-1,-1,50,93 
1189,Data Analyst Junior,5.0, 200 , Private,IT Services, 100 M ,-1,50,93 
1190,Business Intelligence and Data Sciences Analyst,3.6,10000 , Public,Electrical & Electronic Manufacturing,10 B ,-1,50,93 
1191,Sr Business Analyst (Data Quality),4.2, 5000 , Private,Investment Banking & Asset Management, 2 B ,-1,50,93 
1192,Healthcare Data Analytics Analyst Senior,3.1, 10000 , Private,Insurance Carriers, 10 B ,"UnitedHealth Group, Molina Healthcare, Centene",50,93 
1193,"Mid Level Data Analyst / BI Engineer - Looker, Python, Client Facing",1.6, 50 , Public,Advertising & Marketing, 5 M ,-1,50,93 
1194,Technical Business Analyst (Data Warehouse),4.5, 500 , Private,Staffing & Outsourcing,Unknown / Non-Applicable,-1,50,93 
1195,Data Link Analyst,3.3, 5000 , Private,Accounting, 10 M ,-1,50,93 
1196,"Lead Analyst, Data Transfer, Integration & Quality, Wilmington, DE",3.2,10000 , Public,Investment Banking & Asset Management,10 B ,"State Street, Northern Trust, BlackRock",50,93 
1197,Technical Business Analyst (Data Warehouse),3.9, 200 , Private,Enterprise Software & Network Solutions, 25 M ,-1,50,93 
1198,Certified Tumor Registrar/Data Analyst [CTR and experience required],4.0, 5000 ,Other,Health Care Services & Hospitals, 500 M ,"Penn Medicine, Kimmel Cancer Center Jefferson, Abington Jefferson Health",50,93 
1199,Data Center Migration PMO Analyst/PMO Lead,4.1,10000 , Public,Staffing & Outsourcing, 2 B ,-1,50,93 
1200,Data Center Migration PMO Analyst/PMO Lead,-1.0,-1,Other,-1,-1,-1,50,93 
1201,Data Analyst / Tableau Developer,3.9, 50 , Private,Computer Hardware & Software, 5 M ,-1,37,68 
1202,Data Analyst,3.4, 5000 , Private,IT Services,Unknown / Non-Applicable,-1,37,68 
1203,Data Analyst,4.0, 1000 , Private,IT Services, 100 M ,-1,37,68 
1204,Data Analyst,3.1, 500 , Private,Staffing & Outsourcing, 50 M ,-1,37,68 
1205,Data Analyst I,3.0, 50 , Private,Staffing & Outsourcing, 5 M ,-1,37,68 
1206,Data Reporting Analyst,3.9, 1000 , Private,IT Services, 100 M ,-1,37,68 
1207,Data Analyst,3.9, 1000 , Private,IT Services, 500 M ,-1,37,68 
1208,Data Analyst,3.7,10000 , Public,Aerospace & Defense, 10 B ,"General Dynamics, Lockheed Martin",37,68 
1209,Marketing & Data Analyst,4.1, 1000 , Private,Vehicle Dealers,Unknown / Non-Applicable,-1,37,68 
1210,Data Analyst,3.4, 1000 , Private,Consulting,Unknown / Non-Applicable,-1,37,68 
1211,Data Reporting Analyst,3.4, 500 , Private,Banks & Credit Unions, 2 B ,-1,37,68 
1212,"Data & Reporting Analyst, Distribution Planning & Operations",4.3,10000 , Private,Grocery Stores & Supermarkets,10 B ,-1,37,68 
1213,Data Analyst,2.5, 200 ,Other,-1,Unknown / Non-Applicable,-1,37,68 
1214,Epidemiologist - Data Analyst,4.0, 50 , Private,Federal Agencies,Unknown / Non-Applicable,-1,37,68 
1215,Contract Data Analyst,-1.0,-1,Other,-1,-1,-1,37,68 
1216,Epidemiology Data Analyst,2.8, 5000 , Private,IT Services, 500 M ,"BAE Systems USA, CACI International, General Dynamics Information Technology",37,68 
1217,Data Business Solutions Analyst,3.7, 5000 ,Other,Staffing & Outsourcing,Unknown / Non-Applicable,-1,37,68 
1218,Data Analyst,5.0, 200 , Private,IT Services, 100 M ,-1,37,68 
1219,Risk Data Analyst,3.0, 50 , Private,Staffing & Outsourcing, 5 M ,-1,37,68 
1220,Contract Data Analyst,4.0, 1000 , Private,IT Services, 100 M ,-1,37,68 
1221,Senior Data Analyst,4.5, 50 , Private,Computer Hardware & Software,Unknown / Non-Applicable,-1,37,68 
1222,Senior Data Analyst,3.5,10000 , Public,Computer Hardware & Software, 10 B ,"Infosys, Tata Consultancy Services, Wipro",37,68 
1223,Data Analyst,3.3, 500 , Private,Computer Hardware & Software, 100 M ,-1,37,68 
1224,"Epidemiology/Data Analyst, San Antonio, TX, US, ID",-1.0, 50 ,Other,Banks & Credit Unions,Unknown / Non-Applicable,-1,37,68 
1225,Senior Data Analyst,4.1,10000 , Public,Staffing & Outsourcing, 2 B ,-1,37,68 
1226,Senior Data Science Analyst,2.9,10000 , Private,Pet & Pet Supplies Stores, 5 B ,"PetSmart, Walmart, Costco Wholesale",37,68 
1227,"Data Analyst ( SAS,SQL)",3.7, 200 , Private,Staffing & Outsourcing, 100 M ,"Artech Information Systems, Mindlance, Tech Mahindra",37,68 
1228,Data Analyst - Top Secret w/ SCI Eligibility,4.0, 5000 ,Other,Consulting, 500 M ,"Booz Allen Hamilton, Noblis, Deloitte",37,68 
1229,Epidemiology/Data Analyst,4.0, 500 , Private,Federal Agencies, 100 M ,-1,37,68 
1230,Epidemiology Data Analyst,3.5,10000 ,Other,IT Services,10 B ,"SAIC, Leidos, Northrop Grumman",37,68 
1231,Senior Data Analyst,3.3, 200 , Private,IT Services,Unknown / Non-Applicable,-1,73,89 
1232,Data Security Analyst,-1.0, 50 , Private,IT Services,Unknown / Non-Applicable,-1,73,89 
1233,Data Security Analyst,2.6, 5000 ,Other,Social Assistance, 5 B ,-1,73,89 
1234,Data Security Analyst,3.3, 10000 , Private,Aerospace & Defense, 2 B ,"Chenega Corporation, Chugach Alaska, ASRC Federal Holding Company",73,89 
1235,Data Analyst/Engineers,3.9, 1000 , Private,IT Services, 500 M ,-1,73,89 
1236,Senior Contract Data Analyst,-1.0,-1,Other,-1,-1,-1,73,89 
1237,Epidemiology Data Analyst,3.8, 1000 ,Other,Staffing & Outsourcing,Unknown / Non-Applicable,-1,73,89 
1238,IT Data Science Analyst,4.1,10000 , Public,Staffing & Outsourcing, 2 B ,-1,73,89 
1239,"Configuration Data Analyst, (Secret Clearance Required) San Antonio, TX, US ID",3.2, 5000 , Private,Accounting, 1 B ,-1,73,89 
1240,TECHNICAL DATA ANALYST,3.8, 200 , Private,Aerospace & Defense, 50 M ,-1,73,89 
1241,Senior Contract Data Analyst,4.0, 1000 , Private,IT Services, 100 M ,-1,73,89 
1242,"Configuration Data Analyst, (Secret Clearance Required) San An with Security Clearance",-1.0, 50 ,Other,Banks & Credit Unions,Unknown / Non-Applicable,-1,73,89 
1243,Senior Risk Analyst-Data,3.9, 50 , Private,Staffing & Outsourcing, 25 M ,-1,73,89 
1244,Functional Analyst (CECL Data),4.4, 50 , Private,IT Services, 5 M ,-1,73,89 
1245,Data Analyst with Security Clearance,3.3, 500 , Private,Computer Hardware & Software, 100 M ,-1,73,89 
1246,"Configuration Data Analyst, San Antonio, TX, US ID#17897 with Security Clearance",-1.0, 50 ,Other,Banks & Credit Unions,Unknown / Non-Applicable,-1,73,89 
1247,"(REMOTE) Sr. Risk Analyst (IT, IS and/or Data expertise)",3.1, 5000 ,Other,Staffing & Outsourcing, 500 M ,-1,73,89 
1248,"Sr. Risk Analyst (IT, IS and/or Data expertise)",3.1, 5000 ,Other,Staffing & Outsourcing, 500 M ,-1,73,89 
1249,Navy Maintenance Data Systems Analyst,3.6,10000 , Public,Aerospace & Defense, 5 B ,"CSC, ManTech, SAIC",76,122 
1250,Data Analyst,3.3, 5000 ,Other,Banks & Credit Unions, 2 B ,PRA Group,76,122 
1251,Research Data Analyst,4.3,10000 ,Other,Colleges & Universities,Unknown / Non-Applicable,-1,76,122 
1252,Data Analyst II,3.0, 1000 , Public,Education Training Services, 500 M ,"Cornerstone OnDemand, Blackboard",76,122 
1253,Data Analyst,4.5, 50 , Private,Accounting,Less than 1 M ,-1,76,122 
1254,Data Analyst,3.7, 5000 , Private,IT Services, 50 M ,-1,76,122 
1255,Division Data and Financial Analyst,4.2,10000 ,Other,Colleges & Universities, 10 B ,-1,76,122 
1256,Research Data Analyst,3.7,10000 ,Other,Health Care Services & Hospitals,Unknown / Non-Applicable,"Sharp HealthCare, Scripps Health",76,122 
1257,Data Analyst 3,4.0,Unknown, Private,-1,Unknown / Non-Applicable,-1,76,122 
1258,Data Analyst,3.4, 500 , Private,Aerospace & Defense, 100 M ,-1,76,122 
1259,Data Analyst,4.2, 200 , Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,76,122 
1260,Junior Data Analyst,5.0, 200 , Private,IT Services, 100 M ,-1,76,122 
1261,Data Analyst,3.2, 10000 , Public,Financial Analytics & Research, 2 B ,"PRA Group, PRA Group (Canada)",76,122 
1262,Data Analyst - VerityStream,3.0, 1000 , Public,Education Training Services, 500 M ,"Cornerstone OnDemand, Blackboard",76,122 
1263,Data Analyst,4.4, 50 , Private,Advertising & Marketing,Unknown / Non-Applicable,-1,76,122 
1264,Senior Data Analyst,3.4, 5000 , Public,Banks & Credit Unions, 1 B ,-1,76,122 
1265,Business Data Analyst (SQL / Tableau),4.8, 200 , Private,Staffing & Outsourcing,Unknown / Non-Applicable,-1,76,122 
1266,Data & Business Intelligence Analyst,5.0, 50 ,Other,-1,Unknown / Non-Applicable,-1,76,122 
1267,Fleet Optimization Data Analyst (Solar + Storage),3.2, 200 , Private,Energy, 50 M ,-1,76,122 
1268,Data Analyst,3.8, 5000 , Public,Health Care Products Manufacturing, 100 M ,-1,76,122 
1269,Data Steward/Configuration Analyst,3.9, 10000 , Public,Biotech & Pharmaceuticals, 5 B ,"Thermo Fisher Scientific, Roche",76,122 
1270,Administrative Assistant / Data Analyst Supporting the DEA #20-318,2.8, 5000 , Private,Staffing & Outsourcing, 100 M ,-1,76,122 
1271,Data Manager - Bioinformatics Analyst (Naval Health Center),3.5,10000 , Public,Aerospace & Defense,10 B ,-1,76,122 
1272,Data Analyst,5.0, 200 , Private,IT Services, 100 M ,-1,76,122 
1273,Data Analyst III,3.5, 200 ,Other,-1,Unknown / Non-Applicable,-1,76,122 
1274,Data Analyst,-1.0,-1,Other,-1,-1,-1,76,122 
1275,Data Privacy Analyst,3.5, 5000 , Public,Biotech & Pharmaceuticals, 2 B ,"Medtronic, Roche",76,122 
1276,"Data Analyst 3 (San Diego or Atlanta, GA)",3.6,10000 , Public,Health Care Products Manufacturing,10 B ,"Abbott, Siemens, Baxter",76,122 
1277,"Research Scientist, Structural Biologist - CryoEM Data Analyst",3.3, 5000 , Public,Biotech & Pharmaceuticals, 5 B ,Biogen,60,124 
1278,Systems Analyst - Data Integration and ETL process,3.4, 10000 , Public,Staffing & Outsourcing, 10 B ,"Adecco, ManpowerGroup, Allegis Corporation",60,124 
1279,Senior Consulting Data Analyst,4.0,10000 ,Other,Health Care Services & Hospitals,10 B ,"HCA Healthcare, Dignity Health, Sutter Health",60,124 
1280,Senior Data Analyst,3.9, 10000 , Public,Biotech & Pharmaceuticals, 5 B ,"Thermo Fisher Scientific, Roche",60,124 
1281,#105009 Research Data Analyst,4.3,10000 ,Other,Colleges & Universities,Unknown / Non-Applicable,-1,60,124 
1282,Automotive eCommerce Data Analyst - Remote,4.2, 50 , Private,Computer Hardware & Software, 5 M ,-1,60,124 
1283,Sr. Data Analyst,4.6, 200 , Private,Computer Hardware & Software,Unknown / Non-Applicable,-1,60,124 
1284,Senior Technical Data Analyst,4.4, 10000 , Public,Computer Hardware & Software, 5 B ,"Square, PayPal, H&R Block",60,124 
1285,Data Governance Analyst,-1.0, 50 ,Other,-1,Unknown / Non-Applicable,-1,60,124 
1286,Division Data and Financial Analyst,3.7,10000 ,Other,Health Care Services & Hospitals,Unknown / Non-Applicable,"Sharp HealthCare, Scripps Health",60,124 
1287,Data Analyst III (Healthcare Analytics),2.3, 50 , Private,-1, 25 M ,-1,60,124 
1288,Senior Business Data Analyst,4.4, 10000 , Public,Computer Hardware & Software, 5 B ,"Square, PayPal, H&R Block",60,124 
1289,Data Analyst III (Healthcare Analytics),3.3,10000 , Public,Insurance Carriers,10 B ,-1,60,124 
1290,Data Analyst - VerityStream,4.1, 500 ,Other,Computer Hardware & Software,Unknown / Non-Applicable,-1,60,124 
1291,Automotive eCommerce Data Analyst,4.2, 50 , Private,Computer Hardware & Software, 5 M ,-1,60,124 
1292,Data Analyst IV,3.5, 200 ,Other,-1,Unknown / Non-Applicable,-1,60,124 
1293,Division Data and Financial Analyst,4.3,10000 ,Other,Colleges & Universities,Unknown / Non-Applicable,-1,60,124 
1294,Data Analyst Junior,5.0, 200 , Private,IT Services, 100 M ,-1,60,124 
1295,SWRMC Assessments Junior Data Analyst,3.2,10000 , Public,-1,Unknown / Non-Applicable,-1,60,124 
1296,Business Data Analyst III,3.5, 200 ,Other,Staffing & Outsourcing, 25 M ,-1,60,124 
1297,C4I Data Analyst/Engineer,3.3,10000 , Public,Aerospace & Defense,Unknown / Non-Applicable,-1,60,124 
1298,Molecular Researcher and Data Analyst,4.3,10000 ,Other,Colleges & Universities,Unknown / Non-Applicable,-1,60,124 
1299,Health Data Analyst IV,2.5, 5000 , Private,Wholesale, 25 M ,-1,60,124 
1300,Information Security and Data Privacy Analyst,-1.0, 200 , Public,-1,Unknown / Non-Applicable,-1,60,124 
1301,IT DATA ANALYST- Information Technology,3.3, 5000 , Private,Gambling, 500 M ,"Viejas Casino, Barona Casino, Pechanga Resort & Casino",60,124 
1302,"7232 Data Engineer (Analyst/Programmer - Career), Information Technology DevOps",4.1,10000 ,Other,Colleges & Universities, 5 B ,-1,60,124 
1303,Systems Analyst - Data Integration,3.7, 1000 , Private,IT Services, 50 M ,-1,60,124 
1304,Molecular Researcher and Data Analyst,3.7,10000 ,Other,Health Care Services & Hospitals,Unknown / Non-Applicable,"Sharp HealthCare, Scripps Health",60,124 
1305,Data Analyst - EDSS,4.2, 10000 , Private,Computer Hardware & Software,10 B ,"Forsythe Technology, ePlus",60,124 
1306,Sr. Data Governance Analyst,4.9, 200 , Private,Staffing & Outsourcing, 25 M ,-1,60,124 
1307,Data Manager - Bioinformatics Analyst (Naval Health Center),3.5,10000 ,Other,IT Services,10 B ,"SAIC, Leidos, Northrop Grumman",60,124 
1308,#104252 Division Data and Financial Analyst,4.3,10000 ,Other,Colleges & Universities,Unknown / Non-Applicable,-1,34,61 
1309,Systems Analyst - Data Integration and ETL process,3.4, 1000 , Private,Staffing & Outsourcing,Unknown / Non-Applicable,-1,34,61 
1310,Senior Financial Data Analyst,3.5, 1000 , Private,Lending,Unknown / Non-Applicable,-1,34,61 
1311,Sr. C4I Data Analyst/Engineer,3.3,10000 , Public,Aerospace & Defense,Unknown / Non-Applicable,-1,34,61 
1312,Senior Tactical Data Link Systems Analyst,3.7, 200 , Private,IT Services, 25 M ,-1,34,61 
1313,Data Analyst I,4.1, 10000 , Public,Enterprise Software & Network Solutions, 10 B ,"CDW, PCM, SHI International",24,48 
1314,Data Analyst II,4.1, 10000 , Public,Enterprise Software & Network Solutions, 10 B ,"CDW, PCM, SHI International",24,48 
1315,Data Conversion Analyst,4.3, 10000 ,Other,Computer Hardware & Software, 1 B ,Tyler Technologies,24,48 
1316,Data Analyst - Retail (Entry Level),3.3,10000 , Private,Grocery Stores & Supermarkets,10 B ,"ALDI, Tesco, Carrefour",24,48 
1317,Data Analyst - Healthcare Fraud,3.1, 1000 ,Other,Consulting, 100 M ,-1,24,48 
1318,Data Analyst Intern,4.9, 200 , Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,-1,24,48 
1319,Data Analyst BHJOB11946_,3.3, 1000 , Private,Staffing & Outsourcing,Unknown / Non-Applicable,-1,24,48 
1320,SQL Data Analyst,3.9, 200 , Private,Staffing & Outsourcing, 500 M ,"Robert Half, Insight Global",24,48 
1321,Data Science - Analyst/Associate - Security Incident Response Team,4.0,10000 , Public,Investment Banking & Asset Management,10 B ,"J.P. Morgan, Merrill Lynch, Morgan Stanley",24,48 
1322,Game Data Analyst,5.0, 50 , Private,Audiovisual,Unknown / Non-Applicable,-1,24,48 
1323,"Analyst, Data Intelligence",3.7, 1000 , Private,Advertising & Marketing, 500 M ,-1,24,48 
1324,HR Data Analyst II,3.7, 5000 , Private,Financial Analytics & Research,10 B ,-1,24,48 
1325,Data Analyst,3.8, 50 ,Other,-1,Unknown / Non-Applicable,-1,24,48 
1326,Data Analyst,4.4, 5000 , Private,IT Services, 500 M ,-1,24,48 
1327,DATA ANALYST,3.1, 500 ,Other,Municipal Governments, 100 M ,-1,24,48 
1328,Data Science – Analyst/Associate - Security Incident Response Team,4.0,10000 , Public,Investment Banking & Asset Management,10 B ,"J.P. Morgan, Merrill Lynch, Morgan Stanley",24,48 
1329,IGNITE Graduate Development Program - Application Developer / Data Scientist / Business Analyst,3.4,10000 , Public,IT Services,10 B ,"Accenture, Capgemini",24,48 
1330,Data Analyst,-1.0, 50 , Public,IT Services,Less than 1 M ,-1,24,48 
1331,Data Analyst (HR),3.3,10000 , Private,Grocery Stores & Supermarkets,10 B ,"ALDI, Tesco, Carrefour",24,48 
1332,Data Analyst,4.1,10000 , Public,Telecommunications Services,10 B ,"Ericsson-Worldwide, Huawei Technologies, Microsoft",24,48 
1333,"Data Analyst (SQL, Tableau)",3.5, 5000 , Private,Staffing & Outsourcing, 500 M ,"Adecco, Kforce",24,48 
1334,DATA ANALYST TEAM — Data Analyst,3.3, 50 , Private,-1,Less than 1 M ,-1,24,48 
1335,Data Analyst,3.4, 500 , Private,Video Games,Unknown / Non-Applicable,-1,24,48 
1336,Data Analyst (Product Analytics),2.8, 5000 , Private,Advertising & Marketing, 500 M ,-1,24,48 
1337,Data Analyst,2.9, 5000 , Public,Banks & Credit Unions, 2 B ,-1,24,48 
1338,Performance Improvement Data Analyst,4.0, 5000 ,Other,Health Care Services & Hospitals,Unknown / Non-Applicable,-1,24,48 
1339,Junior Data Analyst,5.0, 200 , Private,IT Services, 100 M ,-1,24,48 
1340,Data Analyst,2.9, 500 ,Other,-1,Unknown / Non-Applicable,-1,24,48 
1341,DALLAS Campus Recruiting 2018 - I&D - Data Analyst,3.8,10000 , Public,Enterprise Software & Network Solutions,10 B ,"Accenture, CGI, Sopra Steria",24,48 
1342,Business Data Analyst,3.8, 5000 , Private,Staffing & Outsourcing, 500 M ,"Kforce, Mitchell Martin, Insight Global",30,53 
1343,"Analyst, Data & Design",3.3,10000 ,Other,Preschool & Child Care, 2 B ,-1,30,53 
1344,Data Analyst,-1.0,-1,Other,-1,-1,-1,30,53 
1345,Data Quality Analyst,3.6, 1000 , Private,Health Care Services & Hospitals,Unknown / Non-Applicable,-1,30,53 
1346,Data Analyst,4.1,10000 , Public,Staffing & Outsourcing, 2 B ,-1,30,53 
1347,Data Analyst,4.6, 50 , Private,Investment Banking & Asset Management, 10 M ,-1,30,53 
1348,"Analyst I, Data & Design",3.3,10000 ,Other,Preschool & Child Care, 2 B ,-1,30,53 
1349,Data Analyst,3.4,10000 , Public,Insurance Carriers, 10 B ,-1,30,53 
1350,Client Data Analyst,3.6, 1000 , Private,Health Care Services & Hospitals,Unknown / Non-Applicable,-1,30,53 
1351,HR Data Analyst II,4.1, 5000 ,Other,Federal Agencies,Unknown / Non-Applicable,"FDIC, Office of the Comptroller of the Currency, SEC",30,53 
1352,Data Analyst,-1.0,-1,Other,-1,-1,-1,30,53 
1353,Healthcare Data Analyst,3.8, 200 , Private,Health Care Services & Hospitals, 25 M ,-1,30,53 
1354,IGNITE Graduate Development Program Application Developer / Data Scientist / Business Analyst,-1.0,-1,Other,-1,-1,-1,30,53 
1355,Data Analyst II,3.6, 5000 ,Other,Industrial Manufacturing, 5 B ,-1,30,53 
1356,Data Analyst,2.9,10000 , Public,Transportation Equipment Manufacturing, 10 B ,"GATX, BNSF Railway",30,53 
1357,Data Analyst,3.7, 5000 ,Other,Staffing & Outsourcing,Unknown / Non-Applicable,-1,30,53 
1358,System/Data Analyst,3.5,10000 , Public,IT Services,Unknown / Non-Applicable,"Infosys, Accenture, Capgemini",30,53 
1359,HR Data Analyst II,3.6, 5000 ,Other,Banks & Credit Unions, 10 B ,-1,30,53 
1360,Data Analyst,1.0, 50 , Private,IT Services,Less than 1 M ,-1,30,53 
1361,Data Reporting Analyst,4.1, 1000 , Private,Staffing & Outsourcing,Unknown / Non-Applicable,-1,30,53 
1362,Sr Data Integrity Analyst,3.8, 5000 , Public,Oil & Gas Services, 5 B ,-1,30,53 
1363,Data System Analyst,3.7,10000 , Public,Investment Banking & Asset Management,10 B ,-1,30,53 
1364,Data Analyst,5.0, 200 , Private,IT Services, 100 M ,-1,30,53 
1365,Research Data Analyst,2.6, 500 ,Other,Membership Organizations, 25 M ,-1,30,53 
1366,Data Analyst,-1.0, 500 , Private,-1,Unknown / Non-Applicable,-1,30,53 
1367,RAPD Risk Platforms & Data - Analyst,4.0,10000 , Public,Investment Banking & Asset Management,10 B ,"J.P. Morgan, Merrill Lynch, Morgan Stanley",30,53 
1368,Business Data Analyst,3.5, 10000 , Private,Computer Hardware & Software,10 B ,"Palo Alto Networks, NortonLifeLock, CrowdStrike",30,53 
1369,Data Analyst,4.6, 200 , Private,Consulting, 10 M ,-1,30,53 
1370,Business Analyst/Data Consultant,3.8, 5000 ,Other,Staffing & Outsourcing, 5 B ,"TEKsystems, Insight Global, Accenture",30,53 
1371,Data Analyst - Contract Renewals,2.8, 10000 , Public,Computer Hardware & Software, 1 B ,"Yardi Systems, AppFolio",30,53 
1372,Analyst Supply Chain I Data Management,3.9, 10000 , Private,Consumer Products Manufacturing, 5 B ,-1,41,86 
1373,Senior Data Analyst,4.5, 200 , Private,Video Games,Unknown / Non-Applicable,-1,41,86 
1374,Data Analyst,3.0, 200 , Private,Consulting,Unknown / Non-Applicable,-1,41,86 
1375,Data Integration Analyst,4.4, 200 , Private,Computer Hardware & Software, 10 M ,-1,41,86 
1376,Data Analyst,4.1, 1000 , Private,Staffing & Outsourcing, 500 M ,-1,41,86 
1377,Data Analyst,4.3, 200 , Private,Health Care Services & Hospitals,Unknown / Non-Applicable,-1,41,86 
1378,Healthcare Analyst / Healthcare Data Analyst,5.0,Unknown, Public,-1,Unknown / Non-Applicable,-1,41,86 
1379,Human Resources data Analyst,1.9, 200 ,Other,-1,Unknown / Non-Applicable,-1,41,86 
1380,Business Analyst - Data Protection,3.4,10000 , Public,IT Services,10 B ,"Capgemini, Accenture, Deloitte",41,86 
1381,Data Analyst,2.8, 500 , Private,Convenience Stores & Truck Stops, 500 M ,-1,41,86 
1382,Data Analyst,4.2, 500 , Private,IT Services, 25 M ,-1,41,86 
1383,Data Analytics Senior Analyst,3.7,10000 , Public,Investment Banking & Asset Management,10 B ,-1,41,86 
1384,Business Data Analyst,-1.0,-1,Other,-1,-1,-1,41,86 
1385,Client Data Analyst,3.4, 10000 , Private,Advertising & Marketing, 1 B ,"Marketing Werks, GMR Marketing, Anderson Merchandisers",41,86 
1386,Information Technology Specialist / Data Analyst,3.2, 500 , Private,Insurance Carriers,Unknown / Non-Applicable,-1,41,86 
1387,Data Analyst,4.2, 200 , Private,IT Services, 50 M ,-1,41,86 
1388,Data Management Analyst,4.7, 200 , Private,Aerospace & Defense, 50 M ,-1,41,86 
1389,Data Import Analyst,4.6, 50 , Private,-1, 5 M ,-1,41,86 
1390,Senior Data Analyst,3.8, 200 , Private,Staffing & Outsourcing,Unknown / Non-Applicable,-1,41,86 
1391,SAS Data Analyst III(With SOL & Tableau),3.4, 500 , Private,Enterprise Software & Network Solutions, 50 M ,"Arena, HCL Technologies, PTC",41,86 
1392,NA Data Reporting Analyst,3.1,10000 , Public,Security Services, 5 B ,"Vivint Smart Home, Johnson Controls",41,86 
1393,SAS Data Analyst,3.4, 10000 , Private,Staffing & Outsourcing, 500 M ,-1,41,86 
1394,Data Analyst II,-1.0, 50 , Private,-1,Unknown / Non-Applicable,-1,41,86 
1395,Data Science- Security Analyst,3.4, 50 , Private,IT Services, 5 M ,-1,41,86 
1396,Direct Client Requirement - Data Reporting Analyst,-1.0,-1,Other,-1,-1,-1,41,86 
1397,Data Management Analyst,2.9,10000 , Public,Transportation Equipment Manufacturing, 10 B ,"GATX, BNSF Railway",41,86 
1398,Sr. Business Data Analyst - Enterprise Risk,2.5, 5000 ,Other,Lending, 1 B ,"Mortgage Connect, Amrock, Title365",41,86 
1399,Claims Data Analyst,4.0, 200 , Private,Health Care Services & Hospitals, 10 M ,-1,41,86 
1400,Data Analyst 4,2.8, 200 , Private,Consulting, 25 M ,-1,41,86 
1401,SENIOR APPLICATION PROGRAMMER ANALYST (Data Transformation & Integration) - ITD,3.3, 50 ,Other,Municipal Governments,Less than 1 M ,-1,44,82 
1402,Data Governance Analyst,3.8, 5000 , Private,Staffing & Outsourcing, 500 M ,"Kforce, Mitchell Martin, Insight Global",44,82 
1403,Data Analyst - SM,3.8, 50 , Private,"Health, Beauty, & Fitness",Less than 1 M ,-1,44,82 
1404,Reporting Data Analyst (contract to hire),-1.0,-1,Other,-1,-1,-1,44,82 
1405,Data Analyst {S02268P},4.2, 5000 ,Other,Colleges & Universities, 500 M ,-1,44,82 
1406,Data Analyst,4.1, 200 , Private,Computer Hardware & Software, 50 M ,-1,44,82 
1407,Data Analyst - Marketing,3.7, 10000 , Private,Lending,10 B ,-1,44,82 
1408,Senior Data Quality Analyst,3.6, 1000 , Private,Health Care Services & Hospitals,Unknown / Non-Applicable,-1,44,82 
1409,Senior Data Analyst,3.5,10000 , Public,Computer Hardware & Software, 10 B ,"Infosys, Tata Consultancy Services, Wipro",44,82 
1410,Sr. Enterprise BI Data Analyst,2.1,10000 , Public,Industrial Manufacturing, 5 B ,"SPX, Flowserve, Robbins & Myers",44,82 
1411,Accounting/Data Analyst Associate,3.7, 50 ,Other,Construction, 500 M ,-1,44,82 
1412,Sr. Business Data Analyst Enterprise Risk,2.5, 5000 ,Other,Lending, 1 B ,"Mortgage Connect, Amrock, Title365",44,82 
1413,Sr. BI Data Engineer and Analyst,3.6, 500 , Private,Financial Transaction Processing, 100 M ,-1,44,82 
1414,Data Management Analyst,-1.0, 500 , Private,-1,Unknown / Non-Applicable,-1,44,82 
1415,"Data Analyst (Python), Dallas, Methods+Mastery (a FleishmanHillard Company)",3.3, 5000 ,Other,Advertising & Marketing,Unknown / Non-Applicable,"Edelman, Burson-Marsteller, Weber Shandwick",44,82 
1416,Pricing Data Analyst,-1.0,-1,Other,-1,-1,-1,44,82 
1417,Data Platform System Analyst Lead (Data Services),3.9,10000 , Public,Investment Banking & Asset Management,10 B ,-1,44,82 
1418,Business Analyst/Data Analyst,3.7, 200 , Private,Staffing & Outsourcing, 100 M ,"Artech Information Systems, Mindlance, Tech Mahindra",44,82 
1419,Sr. Data Analyst,-1.0, 200 , Private,Staffing & Outsourcing,Unknown / Non-Applicable,-1,44,82 
1420,Data Analyst,3.3, 5000 , Public,IT Services, 100 M ,-1,44,82 
1421,"Data Management Analyst - Dallas, TX/ Tempe, FL",5.0, 50 , Private,-1,Less than 1 M ,-1,44,82 
